X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
61,JC01,HCCC Lincoln Park,"Jersey City, NJ",Jersey City,NJ,Raffi Manjikian,40.72464,-74.080939,"Unmanaged: wild plants/weeds, forest, or grassland",10bY_tDWTVPZrRerPQFGIuzd3EVCCfdiN,78,7304,7b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,NJ017,GtbA,2515355,25728889,^C,76,200,56.400001525878906,31.5,12.100000381469727,1.1399999856948853,"c(1819889.0848214, 2178965.23571355)"
61,JC01,HCCC Lincoln Park,"Jersey City, NJ",Jersey City,NJ,Raffi Manjikian,40.72464,-74.080939,"Unmanaged: wild plants/weeds, forest, or grassland",10bY_tDWTVPZrRerPQFGIuzd3EVCCfdiN,78,7304,7b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,NJ017,GtbA,2515355,25728889,^Bw1,13,41,50.20000076293945,32.900001525878906,16.899999618530273,1.159999966621399,"c(1819889.0848214, 2178965.23571355)"
61,JC01,HCCC Lincoln Park,"Jersey City, NJ",Jersey City,NJ,Raffi Manjikian,40.72464,-74.080939,"Unmanaged: wild plants/weeds, forest, or grassland",10bY_tDWTVPZrRerPQFGIuzd3EVCCfdiN,78,7304,7b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,NJ017,GtbA,2515355,25728889,^Bw2,41,76,48.79999923706055,33.900001525878906,17.299999237060547,1.5,"c(1819889.0848214, 2178965.23571355)"
61,JC01,HCCC Lincoln Park,"Jersey City, NJ",Jersey City,NJ,Raffi Manjikian,40.72464,-74.080939,"Unmanaged: wild plants/weeds, forest, or grassland",10bY_tDWTVPZrRerPQFGIuzd3EVCCfdiN,78,7304,7b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,NJ017,GtbA,2515355,25728889,^A,0,13,51.5,32.099998474121094,16.399999618530273,1.6699999570846558,"c(1819889.0848214, 2178965.23571355)"
