X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
30,CU01,Chowan University,"Murfreesboro, NC",Murfreesboro,NC,"Torrence Gill, Lia Walker",36.43411,-77.09718,"Managed: mowed/tended lawns, yard, or park",1NWDuUuhsGC74MyS_HYSD0RuSy99bEnum,0,27855,8a,0,Urban and built-up,Woody Wetlands,TRUE,NC091,WT,113180,26046829,Bt,43,137,34.400001525878906,37.599998474121094,28,0.25,"c(1668043.63866584, 1653800.09742135)"
30,CU01,Chowan University,"Murfreesboro, NC",Murfreesboro,NC,"Torrence Gill, Lia Walker",36.43411,-77.09718,"Managed: mowed/tended lawns, yard, or park",1NWDuUuhsGC74MyS_HYSD0RuSy99bEnum,0,27855,8a,0,Urban and built-up,Woody Wetlands,TRUE,NC091,WT,113180,26046829,E,20,43,68.5,14.5,17,0.25,"c(1668043.63866584, 1653800.09742135)"
30,CU01,Chowan University,"Murfreesboro, NC",Murfreesboro,NC,"Torrence Gill, Lia Walker",36.43411,-77.09718,"Managed: mowed/tended lawns, yard, or park",1NWDuUuhsGC74MyS_HYSD0RuSy99bEnum,0,27855,8a,0,Urban and built-up,Woody Wetlands,TRUE,NC091,WT,113180,26046829,A,0,20,68.5,14.5,17,1.75,"c(1668043.63866584, 1653800.09742135)"
30,CU01,Chowan University,"Murfreesboro, NC",Murfreesboro,NC,"Torrence Gill, Lia Walker",36.43411,-77.09718,"Managed: mowed/tended lawns, yard, or park",1NWDuUuhsGC74MyS_HYSD0RuSy99bEnum,0,27855,8a,0,Urban and built-up,Woody Wetlands,TRUE,NC091,WT,113180,26046829,BC,137,203,66.80000305175781,15.199999809265137,18,0.10000000149011612,"c(1668043.63866584, 1653800.09742135)"
