X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023_science,tree_canopy_cover_2023_nlcd,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
21,B20,Leakin Trailhead,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3042679,-76.6944519,"Managed: mowed/tended lawns, yard, or park",13YnUcxXuTPsrTwO6CUMtLbaOA94S3dGL,0,21229,7b,66,58,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,A,0,28,30,55,15,2.5,"c(1638202.53235667, 1975983.3542514)"
21,B20,Leakin Trailhead,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3042679,-76.6944519,"Managed: mowed/tended lawns, yard, or park",13YnUcxXuTPsrTwO6CUMtLbaOA94S3dGL,0,21229,7b,66,58,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Bg1,28,46,21,54,25,0.5,"c(1638202.53235667, 1975983.3542514)"
21,B20,Leakin Trailhead,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3042679,-76.6944519,"Managed: mowed/tended lawns, yard, or park",13YnUcxXuTPsrTwO6CUMtLbaOA94S3dGL,0,21229,7b,66,58,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,50A,533886,25783586,BCg,74,112,20,55,25,0.20000000298023224,"c(1638202.53235667, 1975983.3542514)"
22,B21,Leakin Poplar,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3027325,-76.6957974,"Managed: mowed/tended lawns, yard, or park",12KYeJZU_nQWCgHpyUgOeaVpVLhVzy5vf,0,21207,7b,51,46,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,17C,533902,25783343,H1,0,30,39.5,37.5,23,2,"c(1638124.64759667, 1975791.61868404)"
22,B21,Leakin Poplar,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3027325,-76.6957974,"Managed: mowed/tended lawns, yard, or park",12KYeJZU_nQWCgHpyUgOeaVpVLhVzy5vf,0,21207,7b,51,46,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,17C,533902,25783343,H3,56,165,19.700000762939453,54.29999923706055,26,0.25,"c(1638124.64759667, 1975791.61868404)"
22,B21,Leakin Poplar,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3027325,-76.6957974,"Managed: mowed/tended lawns, yard, or park",12KYeJZU_nQWCgHpyUgOeaVpVLhVzy5vf,0,21207,7b,51,46,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,17C,533902,25783343,H2,30,56,17.100000381469727,52.400001525878906,30.5,0.25,"c(1638124.64759667, 1975791.61868404)"
23,B22,Leakin Glen,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3017521,-76.696591,"Unmanaged: wild plants/weeds, forest, or grassland",1f4NGYrVxaG4iSyiCvcOHR3uFln0LG6fN,0,21229,7b,76,80,Urban and built-up,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Cg2,140,203,61,24,15,0.009999999776482582,"c(1638080.39838039, 1975670.31968632)"
23,B22,Leakin Glen,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3017521,-76.696591,"Unmanaged: wild plants/weeds, forest, or grassland",1f4NGYrVxaG4iSyiCvcOHR3uFln0LG6fN,0,21229,7b,76,80,Urban and built-up,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Cg1,112,140,18,52,30,0.10000000149011612,"c(1638080.39838039, 1975670.31968632)"
23,B22,Leakin Glen,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3017521,-76.696591,"Unmanaged: wild plants/weeds, forest, or grassland",1f4NGYrVxaG4iSyiCvcOHR3uFln0LG6fN,0,21229,7b,76,80,Urban and built-up,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Bg2,46,74,25,54,21,0.25,"c(1638080.39838039, 1975670.31968632)"
23,B22,Leakin Glen,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3017521,-76.696591,"Unmanaged: wild plants/weeds, forest, or grassland",1f4NGYrVxaG4iSyiCvcOHR3uFln0LG6fN,0,21229,7b,76,80,Urban and built-up,Deciduous Forest,TRUE,MD510,50A,533886,25783586,A,0,28,30,55,15,2.5,"c(1638080.39838039, 1975670.31968632)"
23,B22,Leakin Glen,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3017521,-76.696591,"Unmanaged: wild plants/weeds, forest, or grassland",1f4NGYrVxaG4iSyiCvcOHR3uFln0LG6fN,0,21229,7b,76,80,Urban and built-up,Deciduous Forest,TRUE,MD510,50A,533886,25783586,Bg1,28,46,21,54,25,0.5,"c(1638080.39838039, 1975670.31968632)"
23,B22,Leakin Glen,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3017521,-76.696591,"Unmanaged: wild plants/weeds, forest, or grassland",1f4NGYrVxaG4iSyiCvcOHR3uFln0LG6fN,0,21229,7b,76,80,Urban and built-up,Deciduous Forest,TRUE,MD510,50A,533886,25783586,BCg,74,112,20,55,25,0.20000000298023224,"c(1638080.39838039, 1975670.31968632)"
24,B23,Leakin Forest,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3056304,-76.69476,"Unmanaged: wild plants/weeds, forest, or grassland",1MMVp-SnXLo79ISNy8ypHiQrff_JdN_7G,0,21207,7b,89,91,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,17E,533903,25783344,H1,0,30,39.5,37.5,23,2,"c(1638145.94128512, 1976127.60575634)"
24,B23,Leakin Forest,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3056304,-76.69476,"Unmanaged: wild plants/weeds, forest, or grassland",1MMVp-SnXLo79ISNy8ypHiQrff_JdN_7G,0,21207,7b,89,91,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,17E,533903,25783344,H3,56,165,19.700000762939453,54.29999923706055,26,0.25,"c(1638145.94128512, 1976127.60575634)"
24,B23,Leakin Forest,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.3056304,-76.69476,"Unmanaged: wild plants/weeds, forest, or grassland",1MMVp-SnXLo79ISNy8ypHiQrff_JdN_7G,0,21207,7b,89,91,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD510,17E,533903,25783344,H2,30,56,17.100000381469727,52.400001525878906,30.5,0.25,"c(1638145.94128512, 1976127.60575634)"
25,B24,Leakin Nature Center,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.307208,-76.6949263,"Managed: mowed/tended lawns, yard, or park",1p48KBMw5cm4L5UNp-BgNMGqoWO20ypNJ,0,21207,7b,76,75,Urban and built-up,Deciduous Forest,TRUE,MD510,17C,533902,25783343,H1,0,30,39.5,37.5,23,2,"c(1638096.35386062, 1976297.91338065)"
25,B24,Leakin Nature Center,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.307208,-76.6949263,"Managed: mowed/tended lawns, yard, or park",1p48KBMw5cm4L5UNp-BgNMGqoWO20ypNJ,0,21207,7b,76,75,Urban and built-up,Deciduous Forest,TRUE,MD510,17C,533902,25783343,H3,56,165,19.700000762939453,54.29999923706055,26,0.25,"c(1638096.35386062, 1976297.91338065)"
25,B24,Leakin Nature Center,"Baltimore, MD",Baltimore,MD,Pilot (Hoffman and team),39.307208,-76.6949263,"Managed: mowed/tended lawns, yard, or park",1p48KBMw5cm4L5UNp-BgNMGqoWO20ypNJ,0,21207,7b,76,75,Urban and built-up,Deciduous Forest,TRUE,MD510,17C,533902,25783343,H2,30,56,17.100000381469727,52.400001525878906,30.5,0.25,"c(1638096.35386062, 1976297.91338065)"
62,M01,Rock Creek Park Needwood Parking Lot,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.114081,-77.128242,"Managed: mowed/tended lawns, yard, or park",1rozkLu0BLnlw3hMvgH493om1AVX9Q0n4,0,20855,7b,9,0,Cropland,Pasture/Hay,TRUE,MD031,116E,533578,25779717,R,53,64,NA,NA,NA,NA,"c(1606088.534597, 1947691.65190436)"
62,M01,Rock Creek Park Needwood Parking Lot,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.114081,-77.128242,"Managed: mowed/tended lawns, yard, or park",1rozkLu0BLnlw3hMvgH493om1AVX9Q0n4,0,20855,7b,9,0,Cropland,Pasture/Hay,TRUE,MD031,116E,533578,25779717,Cr,43,53,NA,NA,NA,NA,"c(1606088.534597, 1947691.65190436)"
62,M01,Rock Creek Park Needwood Parking Lot,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.114081,-77.128242,"Managed: mowed/tended lawns, yard, or park",1rozkLu0BLnlw3hMvgH493om1AVX9Q0n4,0,20855,7b,9,0,Cropland,Pasture/Hay,TRUE,MD031,116E,533578,25779717,Bt,15,43,22,55,23,0.20000000298023224,"c(1606088.534597, 1947691.65190436)"
62,M01,Rock Creek Park Needwood Parking Lot,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.114081,-77.128242,"Managed: mowed/tended lawns, yard, or park",1rozkLu0BLnlw3hMvgH493om1AVX9Q0n4,0,20855,7b,9,0,Cropland,Pasture/Hay,TRUE,MD031,116E,533578,25779717,Ap,0,15,27,55,18,2.5,"c(1606088.534597, 1947691.65190436)"
63,M02,Rock Creek Park Needwood Forest,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.1158,-77.12721,"Unmanaged: wild plants/weeds, forest, or grassland",1vFna4SQPgot0nNbhkX0S0ioAsVFYv1ij,0,20855,7b,85,90,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,116E,533578,25779717,R,53,64,NA,NA,NA,NA,"c(1606137.19499217, 1947897.97227712)"
63,M02,Rock Creek Park Needwood Forest,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.1158,-77.12721,"Unmanaged: wild plants/weeds, forest, or grassland",1vFna4SQPgot0nNbhkX0S0ioAsVFYv1ij,0,20855,7b,85,90,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,116E,533578,25779717,Cr,43,53,NA,NA,NA,NA,"c(1606137.19499217, 1947897.97227712)"
63,M02,Rock Creek Park Needwood Forest,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.1158,-77.12721,"Unmanaged: wild plants/weeds, forest, or grassland",1vFna4SQPgot0nNbhkX0S0ioAsVFYv1ij,0,20855,7b,85,90,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,116E,533578,25779717,Bt,15,43,22,55,23,0.20000000298023224,"c(1606137.19499217, 1947897.97227712)"
63,M02,Rock Creek Park Needwood Forest,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.1158,-77.12721,"Unmanaged: wild plants/weeds, forest, or grassland",1vFna4SQPgot0nNbhkX0S0ioAsVFYv1ij,0,20855,7b,85,90,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,116E,533578,25779717,Ap,0,15,27,55,18,2.5,"c(1606137.19499217, 1947897.97227712)"
64,M03,Rock Creek Park Needwood Pavilion,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.11643,-77.12852,"Managed: mowed/tended lawns, yard, or park",1RxbvnHTsCrhvwPC6lD4xj173q8_lC_6E,0,20855,7b,78,83,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,116E,533578,25779717,R,53,64,NA,NA,NA,NA,"c(1606013.24927604, 1947945.0557607)"
64,M03,Rock Creek Park Needwood Pavilion,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.11643,-77.12852,"Managed: mowed/tended lawns, yard, or park",1RxbvnHTsCrhvwPC6lD4xj173q8_lC_6E,0,20855,7b,78,83,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,116E,533578,25779717,Cr,43,53,NA,NA,NA,NA,"c(1606013.24927604, 1947945.0557607)"
64,M03,Rock Creek Park Needwood Pavilion,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.11643,-77.12852,"Managed: mowed/tended lawns, yard, or park",1RxbvnHTsCrhvwPC6lD4xj173q8_lC_6E,0,20855,7b,78,83,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,116E,533578,25779717,Bt,15,43,22,55,23,0.20000000298023224,"c(1606013.24927604, 1947945.0557607)"
64,M03,Rock Creek Park Needwood Pavilion,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.11643,-77.12852,"Managed: mowed/tended lawns, yard, or park",1RxbvnHTsCrhvwPC6lD4xj173q8_lC_6E,0,20855,7b,78,83,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,116E,533578,25779717,Ap,0,15,27,55,18,2.5,"c(1606013.24927604, 1947945.0557607)"
65,M04,Rock Creek Park Hill Trail,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.118353,-77.126822,"Unmanaged: wild plants/weeds, forest, or grassland",1cHKy1TivJG_bDzaVJqrIt5NEh-u3-w-0,0,20855,7b,85,85,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,1B,533591,25779752,H4,51,193,83.30000305175781,4.199999809265137,12.5,0.3799999952316284,"c(1606113.32644865, 1948185.04584587)"
65,M04,Rock Creek Park Hill Trail,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.118353,-77.126822,"Unmanaged: wild plants/weeds, forest, or grassland",1cHKy1TivJG_bDzaVJqrIt5NEh-u3-w-0,0,20855,7b,85,85,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,1B,533591,25779752,H3,43,51,67.19999694824219,15.300000190734863,17.5,0.3799999952316284,"c(1606113.32644865, 1948185.04584587)"
65,M04,Rock Creek Park Hill Trail,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.118353,-77.126822,"Unmanaged: wild plants/weeds, forest, or grassland",1cHKy1TivJG_bDzaVJqrIt5NEh-u3-w-0,0,20855,7b,85,85,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,1B,533591,25779752,H2,20,43,58.20000076293945,17.799999237060547,24,0.3799999952316284,"c(1606113.32644865, 1948185.04584587)"
65,M04,Rock Creek Park Hill Trail,"Derwood, MD",Derwood,MD,Pilot (Hoffman and team),39.118353,-77.126822,"Unmanaged: wild plants/weeds, forest, or grassland",1cHKy1TivJG_bDzaVJqrIt5NEh-u3-w-0,0,20855,7b,85,85,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,1B,533591,25779752,H1,0,20,29.100000381469727,53.400001525878906,17.5,1.25,"c(1606113.32644865, 1948185.04584587)"
66,M05,Black Hill Visitor Center,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1924796,-77.2958082,"Managed: mowed/tended lawns, yard, or park",1jINlFvfNqr9O1mBZFWYew-jQNuMQwohO,34,20841,7b,25,22,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,16B,533579,25779721,H3,64,89,NA,NA,NA,NA,"c(1590294.94453894, 1953489.35185182)"
66,M05,Black Hill Visitor Center,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1924796,-77.2958082,"Managed: mowed/tended lawns, yard, or park",1jINlFvfNqr9O1mBZFWYew-jQNuMQwohO,34,20841,7b,25,22,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,16B,533579,25779721,H4,89,99,NA,NA,NA,NA,"c(1590294.94453894, 1953489.35185182)"
66,M05,Black Hill Visitor Center,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1924796,-77.2958082,"Managed: mowed/tended lawns, yard, or park",1jINlFvfNqr9O1mBZFWYew-jQNuMQwohO,34,20841,7b,25,22,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,16B,533579,25779721,H1,0,25,29.100000381469727,53.400001525878906,17.5,2,"c(1590294.94453894, 1953489.35185182)"
66,M05,Black Hill Visitor Center,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1924796,-77.2958082,"Managed: mowed/tended lawns, yard, or park",1jINlFvfNqr9O1mBZFWYew-jQNuMQwohO,34,20841,7b,25,22,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,16B,533579,25779721,H2,25,64,37.900001525878906,35.599998474121094,26.5,0.3799999952316284,"c(1590294.94453894, 1953489.35185182)"
67,M06,Black Hill Small Wood,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1923697,-77.2938525,"Unmanaged: wild plants/weeds, forest, or grassland",1ncKWeNNzdw52164UluHO_aKH5Q1J2eZ1,0,20841,7b,85,89,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16B,533579,25779721,H3,64,89,NA,NA,NA,NA,"c(1590461.48083348, 1953510.00087092)"
67,M06,Black Hill Small Wood,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1923697,-77.2938525,"Unmanaged: wild plants/weeds, forest, or grassland",1ncKWeNNzdw52164UluHO_aKH5Q1J2eZ1,0,20841,7b,85,89,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16B,533579,25779721,H4,89,99,NA,NA,NA,NA,"c(1590461.48083348, 1953510.00087092)"
67,M06,Black Hill Small Wood,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1923697,-77.2938525,"Unmanaged: wild plants/weeds, forest, or grassland",1ncKWeNNzdw52164UluHO_aKH5Q1J2eZ1,0,20841,7b,85,89,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16B,533579,25779721,H1,0,25,29.100000381469727,53.400001525878906,17.5,2,"c(1590461.48083348, 1953510.00087092)"
67,M06,Black Hill Small Wood,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1923697,-77.2938525,"Unmanaged: wild plants/weeds, forest, or grassland",1ncKWeNNzdw52164UluHO_aKH5Q1J2eZ1,0,20841,7b,85,89,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16B,533579,25779721,H2,25,64,37.900001525878906,35.599998474121094,26.5,0.3799999952316284,"c(1590461.48083348, 1953510.00087092)"
68,M07,Black Hill Pavilion A,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1951344,-77.2909008,"Managed: mowed/tended lawns, yard, or park",1CW01fLj9fhJnVFXm13vfqicvnekfXBzn,9,20841,7b,19,0,Urban and built-up,"Developed, Open Space",TRUE,MD031,16B,533579,25779721,H3,64,89,NA,NA,NA,NA,"c(1590648.58513453, 1953863.2811385)"
68,M07,Black Hill Pavilion A,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1951344,-77.2909008,"Managed: mowed/tended lawns, yard, or park",1CW01fLj9fhJnVFXm13vfqicvnekfXBzn,9,20841,7b,19,0,Urban and built-up,"Developed, Open Space",TRUE,MD031,16B,533579,25779721,H4,89,99,NA,NA,NA,NA,"c(1590648.58513453, 1953863.2811385)"
68,M07,Black Hill Pavilion A,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1951344,-77.2909008,"Managed: mowed/tended lawns, yard, or park",1CW01fLj9fhJnVFXm13vfqicvnekfXBzn,9,20841,7b,19,0,Urban and built-up,"Developed, Open Space",TRUE,MD031,16B,533579,25779721,H1,0,25,29.100000381469727,53.400001525878906,17.5,2,"c(1590648.58513453, 1953863.2811385)"
68,M07,Black Hill Pavilion A,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.1951344,-77.2909008,"Managed: mowed/tended lawns, yard, or park",1CW01fLj9fhJnVFXm13vfqicvnekfXBzn,9,20841,7b,19,0,Urban and built-up,"Developed, Open Space",TRUE,MD031,16B,533579,25779721,H2,25,64,37.900001525878906,35.599998474121094,26.5,0.3799999952316284,"c(1590648.58513453, 1953863.2811385)"
69,M08,Black Hill Tiny Meadow,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.195548,-77.2893639,"Unmanaged: wild plants/weeds, forest, or grassland",1pnrMNAW2nDH_pNeNBYLDvd_kLzs4JB7_,0,20841,7b,84,91,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16C,533580,25779726,H3,64,89,NA,NA,NA,NA,"c(1590768.49188709, 1953934.46650141)"
69,M08,Black Hill Tiny Meadow,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.195548,-77.2893639,"Unmanaged: wild plants/weeds, forest, or grassland",1pnrMNAW2nDH_pNeNBYLDvd_kLzs4JB7_,0,20841,7b,84,91,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16C,533580,25779726,H4,89,99,NA,NA,NA,NA,"c(1590768.49188709, 1953934.46650141)"
69,M08,Black Hill Tiny Meadow,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.195548,-77.2893639,"Unmanaged: wild plants/weeds, forest, or grassland",1pnrMNAW2nDH_pNeNBYLDvd_kLzs4JB7_,0,20841,7b,84,91,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16C,533580,25779726,H1,0,25,29.100000381469727,53.400001525878906,17.5,2,"c(1590768.49188709, 1953934.46650141)"
69,M08,Black Hill Tiny Meadow,"Boyds, MD",Boyds,MD,Pilot (Hoffman and team),39.195548,-77.2893639,"Unmanaged: wild plants/weeds, forest, or grassland",1pnrMNAW2nDH_pNeNBYLDvd_kLzs4JB7_,0,20841,7b,84,91,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16C,533580,25779726,H2,25,64,37.900001525878906,35.599998474121094,26.5,0.3799999952316284,"c(1590768.49188709, 1953934.46650141)"
70,M09,Ridge Road Oak Grove,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2096095,-77.2436929,"Unmanaged: wild plants/weeds, forest, or grassland",1EUTS2qsooMUeQu_WPhRuZo3J3HMV0S7s,4,20876,7b,87,87,Urban and built-up,"Developed, Open Space",TRUE,MD031,16B,533579,25779721,H3,64,89,NA,NA,NA,NA,"c(1594291.90007627, 1956245.26706513)"
70,M09,Ridge Road Oak Grove,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2096095,-77.2436929,"Unmanaged: wild plants/weeds, forest, or grassland",1EUTS2qsooMUeQu_WPhRuZo3J3HMV0S7s,4,20876,7b,87,87,Urban and built-up,"Developed, Open Space",TRUE,MD031,16B,533579,25779721,H4,89,99,NA,NA,NA,NA,"c(1594291.90007627, 1956245.26706513)"
70,M09,Ridge Road Oak Grove,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2096095,-77.2436929,"Unmanaged: wild plants/weeds, forest, or grassland",1EUTS2qsooMUeQu_WPhRuZo3J3HMV0S7s,4,20876,7b,87,87,Urban and built-up,"Developed, Open Space",TRUE,MD031,16B,533579,25779721,H1,0,25,29.100000381469727,53.400001525878906,17.5,2,"c(1594291.90007627, 1956245.26706513)"
70,M09,Ridge Road Oak Grove,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2096095,-77.2436929,"Unmanaged: wild plants/weeds, forest, or grassland",1EUTS2qsooMUeQu_WPhRuZo3J3HMV0S7s,4,20876,7b,87,87,Urban and built-up,"Developed, Open Space",TRUE,MD031,16B,533579,25779721,H2,25,64,37.900001525878906,35.599998474121094,26.5,0.3799999952316284,"c(1594291.90007627, 1956245.26706513)"
71,M10,Ridge Road Pine Field,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2099919,-77.2439618,"Managed: mowed/tended lawns, yard, or park",17z8YsxNfHT-wF8YGNgPYeyua7YeIyHZi,25,20876,7b,87,83,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,17B,533583,25779736,H4,150,160,NA,NA,NA,0.3799999952316284,"c(1594260.93715523, 1956282.78252578)"
71,M10,Ridge Road Pine Field,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2099919,-77.2439618,"Managed: mowed/tended lawns, yard, or park",17z8YsxNfHT-wF8YGNgPYeyua7YeIyHZi,25,20876,7b,87,83,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,17B,533583,25779736,H2,20,38,37.900001525878906,35.599998474121094,26.5,0.3799999952316284,"c(1594260.93715523, 1956282.78252578)"
71,M10,Ridge Road Pine Field,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2099919,-77.2439618,"Managed: mowed/tended lawns, yard, or park",17z8YsxNfHT-wF8YGNgPYeyua7YeIyHZi,25,20876,7b,87,83,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,17B,533583,25779736,H3,38,150,43.79999923706055,40.20000076293945,16,0.3799999952316284,"c(1594260.93715523, 1956282.78252578)"
71,M10,Ridge Road Pine Field,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2099919,-77.2439618,"Managed: mowed/tended lawns, yard, or park",17z8YsxNfHT-wF8YGNgPYeyua7YeIyHZi,25,20876,7b,87,83,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,17B,533583,25779736,H1,0,20,43.29999923706055,39.70000076293945,17,2,"c(1594260.93715523, 1956282.78252578)"
72,M11,Ridge Road Leafy Trail,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2074954,-77.2422723,"Unmanaged: wild plants/weeds, forest, or grassland",13W5snhWYSWxQ--QsR2m2d1A0rbvRhGNZ,0,20876,7b,82,77,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16B,533579,25779721,H3,64,89,NA,NA,NA,NA,"c(1594457.54441785, 1956036.75703772)"
72,M11,Ridge Road Leafy Trail,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2074954,-77.2422723,"Unmanaged: wild plants/weeds, forest, or grassland",13W5snhWYSWxQ--QsR2m2d1A0rbvRhGNZ,0,20876,7b,82,77,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16B,533579,25779721,H4,89,99,NA,NA,NA,NA,"c(1594457.54441785, 1956036.75703772)"
72,M11,Ridge Road Leafy Trail,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2074954,-77.2422723,"Unmanaged: wild plants/weeds, forest, or grassland",13W5snhWYSWxQ--QsR2m2d1A0rbvRhGNZ,0,20876,7b,82,77,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16B,533579,25779721,H1,0,25,29.100000381469727,53.400001525878906,17.5,2,"c(1594457.54441785, 1956036.75703772)"
72,M11,Ridge Road Leafy Trail,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2074954,-77.2422723,"Unmanaged: wild plants/weeds, forest, or grassland",13W5snhWYSWxQ--QsR2m2d1A0rbvRhGNZ,0,20876,7b,82,77,Temperate or sub-polar broadleaf deciduous forest,Deciduous Forest,TRUE,MD031,16B,533579,25779721,H2,25,64,37.900001525878906,35.599998474121094,26.5,0.3799999952316284,"c(1594457.54441785, 1956036.75703772)"
73,M12,Ridge Road Tennis Court,"Germantown, MD",Germantown,MD,Pilot (Hoffman and team),39.2084737,-77.242564,"Managed: mowed/tended lawns, yard, or park",1FLHR2DmC0QVQKLntWGh0q3D4ijFCvRdv,27,20876,7b,64,62,Urban and built-up,"Developed, Low Intensity",TRUE,MD031,17C,533584,25779740,H4,150,160,NA,NA,NA,0.3799999952316284,"c(1594411.57058076, 1956139.37984828)"
