lon,lat,elevation
-77.115306,38.839806,55
-76.6213047,39.326212,81
-76.6180579,39.3253092,81
-76.6263905,39.324184700000004,106
-76.6194265,39.3519629,81
-76.6188471,39.3528954,81
-76.6178148,39.3496891,81
-76.6417958,39.3212027,106
-76.6415973,39.321979,106
-76.6444267,39.3204848,106
-76.6441182,39.319571,106
-76.6515768,39.2725685,44
-76.6527808,39.2731493,44
-76.6482257,39.271642,44
-76.5758902,39.332137,81
-76.5726679,39.3302272,81
-76.5708624,39.3294746,81
-76.5712121,39.3284985,81
-76.5739265,39.3328439,81
-76.5796275,39.3319241,81
-76.6944519,39.3042679,113
-76.6957974,39.3027325,113
-76.696591,39.3017521,113
-76.69476,39.3056304,113
-76.6949263,39.307208,113
-80.85421,33.49895,61
-82.2249,33.08826,115
-80.85672,33.56996,86
-81.97323,33.47755,49
-77.09718,36.43411,28
-107.8666,37.2805,2158
-107.866667,37.280278,2158
-108.055278,37.229167,2320
-108.054767,37.229218,2320
-107.872,37.274,2158
-106.2660366,31.6781066,1114
-106.50386,31.77391,1185
-106.50203,31.76397,1185
-106.45513,31.79024,1202
-106.4577,31.78962,1202
-106.40452,31.75547,1162
-119.731121,36.883255,119
-119.842776,36.524636,75
-119.844327,36.522455,75
-119.845056,36.523365,75
-119.84267,36.525379,75
-119.692045,36.832175,113
-119.700831,36.848366,113
-84.3621,33.83261,287
-84.3641,33.83218,287
-84.36391,33.83221,287
-84.36409,33.83209,287
-84.351272,33.720117,289
-83.86084,33.59398,227
-74.06661,40.71637,7
-78.87576,38.08406,413
-78.87687,38.0856,413
-78.87622,38.0845,413
-78.90991,38.06631,413
-78.90738,38.06538,413
-74.080939,40.72464,7
-77.128242,39.114081,129
-77.12721,39.1158,129
-77.12852,39.11643,129
-77.126822,39.118353,129
-77.2958082,39.1924796,164
-77.2938525,39.1923697,164
-77.2909008,39.1951344,164
-77.2893639,39.195548,164
-77.2436929,39.2096095,161
-77.2439618,39.2099919,161
-77.2422723,39.2074954,161
-77.242564,39.2084737,161
-77.2053983,39.2108606,161
-77.2046218,39.2109581,161
-77.2025498,39.2019044,161
-77.201322,39.2023669,161
-77.2123519,39.2238459,161
-77.2126031,39.2238549,161
-77.1349229,39.1642713,147
-77.1327725,39.162704,147
-77.1305888,39.1637646,147
-77.128902,39.165766,147
-77.1481955,39.0351753,100
-77.1495557,39.0341792,100
-120.421913,37.365386,68
-93.35503,45.174393,261
-93.354853,45.174232,261
-93.354703,45.174059,261
-86.80898,36.16786,150
-86.80898,36.16786,150
-86.80893,36.1667,150
-86.80583,36.16632,150
-86.80754,36.16592,150
-100.755857,46.759593,503
-100.75502,46.75999,503
-100.7539972,46.7609345,503
-100.75618,46.763972,503
-100.75957,46.763836,503
-100.75822,46.76369,503
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
-94.952778,35.891389,257
-94.95151,35.8909,257
-77.419,37.231667,35
-77.42225,37.229556,35
-77.413611,37.235556,35
-77.4133845,37.2348699,35
-77.416639,37.235278,35
-76.72894,40.20348,129
-76.72865,40.19287,129
-76.74527,40.20507,129
-76.74357,40.19899,129
-76.7385,40.20651,129
-122.3320589,47.6275429,58
-122.3302119,47.6274891,58
-122.064,36.95241,76
-122.06125,36.998778,35
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
-116.4091989,33.669456,580
-116.3867086,33.7330671,207
