X,site_id,site_name,origin,city,state,partner_faculty,lat,lon,mgmt_type,google_img_id,pct_imp_2024,closest_zip,usda_plant_hardiness_2023,tree_canopy_cover_2023,CEC_landcover_2020,NLCD_landcover_2024,public_ok,AREASYMBOL,MUSYM,MUKEY,cokey,hzname,hzdept_r,hzdepb_r,sandtotal_r,silttotal_r,claytotal_r,om_r,geometry
26,CL01,Claflin University,"West Columbia, SC",West Columbia,SC,Kamal Chowdhury,33.49895,-80.85421,"Managed: mowed/tended lawns, yard, or park",1-G-a1OI5Lb-XDGCjxsiw-sZX9GLnW16b,65,29115,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,SC075,DaA,130880,25518416,E,18,33,86,8,6,0.25,"c(1391787.90463293, 1270140.96738171)"
26,CL01,Claflin University,"West Columbia, SC",West Columbia,SC,Kamal Chowdhury,33.49895,-80.85421,"Managed: mowed/tended lawns, yard, or park",1-G-a1OI5Lb-XDGCjxsiw-sZX9GLnW16b,65,29115,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,SC075,DaA,130880,25518416,Bt,33,102,61,13,26,0.15000000596046448,"c(1391787.90463293, 1270140.96738171)"
26,CL01,Claflin University,"West Columbia, SC",West Columbia,SC,Kamal Chowdhury,33.49895,-80.85421,"Managed: mowed/tended lawns, yard, or park",1-G-a1OI5Lb-XDGCjxsiw-sZX9GLnW16b,65,29115,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,SC075,DaA,130880,25518416,Btv,102,200,58,10,32,0.10000000149011612,"c(1391787.90463293, 1270140.96738171)"
26,CL01,Claflin University,"West Columbia, SC",West Columbia,SC,Kamal Chowdhury,33.49895,-80.85421,"Managed: mowed/tended lawns, yard, or park",1-G-a1OI5Lb-XDGCjxsiw-sZX9GLnW16b,65,29115,8b,0,Urban and built-up,"Developed, Medium Intensity",TRUE,SC075,DaA,130880,25518416,Ap,0,18,86,9,5,0.5,"c(1391787.90463293, 1270140.96738171)"
28,CL03,"Hawk Chase Dr Orangeburg, SC","West Columbia, SC",West Columbia,SC,Kamal Chowdhury,33.56996,-80.85672,"Managed: mowed/tended lawns, yard, or park",1x6xyaKcFfOuTu7lIGEZLiSCbXx0us5X5,29,29118,8b,0,Urban and built-up,"Developed, Low Intensity",TRUE,SC075,GoA,130888,25518355,E,20,41,66.9000015258789,23.100000381469727,10,0.25,"c(1390300.76189929, 1277934.77076892)"
28,CL03,"Hawk Chase Dr Orangeburg, SC","West Columbia, SC",West Columbia,SC,Kamal Chowdhury,33.56996,-80.85672,"Managed: mowed/tended lawns, yard, or park",1x6xyaKcFfOuTu7lIGEZLiSCbXx0us5X5,29,29118,8b,0,Urban and built-up,"Developed, Low Intensity",TRUE,SC075,GoA,130888,25518355,Bt,41,114,58.20000076293945,17.799999237060547,24,0.25,"c(1390300.76189929, 1277934.77076892)"
28,CL03,"Hawk Chase Dr Orangeburg, SC","West Columbia, SC",West Columbia,SC,Kamal Chowdhury,33.56996,-80.85672,"Managed: mowed/tended lawns, yard, or park",1x6xyaKcFfOuTu7lIGEZLiSCbXx0us5X5,29,29118,8b,0,Urban and built-up,"Developed, Low Intensity",TRUE,SC075,GoA,130888,25518355,Ap,0,20,66.9000015258789,23.100000381469727,10,1.25,"c(1390300.76189929, 1277934.77076892)"
28,CL03,"Hawk Chase Dr Orangeburg, SC","West Columbia, SC",West Columbia,SC,Kamal Chowdhury,33.56996,-80.85672,"Managed: mowed/tended lawns, yard, or park",1x6xyaKcFfOuTu7lIGEZLiSCbXx0us5X5,29,29118,8b,0,Urban and built-up,"Developed, Low Intensity",TRUE,SC075,GoA,130888,25518355,Btg,114,173,55.400001525878906,17.600000381469727,27,0.25,"c(1390300.76189929, 1277934.77076892)"
